image_name,cycleGan_similarity,starGan_similarity1
"['1054', '49ebc6559f9350852f0c960768ddb800f0eb92a781e02d31615dc73a.jpg']",0.962297762,0.945342472
"['397', 'a6cd220dd93bd7b774199835e7da621e318e0b046a3bf87c565bbdb3.jpg']",0.978671482,0.96277774
"['645', 'e8897087ae82b95dc339559967a5607744b565c372a5e4855ad07b50.jpg']",0.965694803,0.925192295
"['965', 'ade26ed081b01af4c604375f3fd2928ce1e0531da1b9d25903e04d85.png']",0.967579459,0.922040867
"['904', 'a2975261313a7e275dc073321bed77798501d1baaa8b3699fbbc6d36.JPG']",0.964754602,0.9252195
"['724', 'd5dcbbea7b9393506780c8bd5d71dc8ba73784bc979352669f872944.jpg']",0.972055926,0.955161156
"['372', 'f794384fec70759ae959edf912ce6f245b705faec167798be6576479.jpg']",0.977611552,0.956132219
"['830', '3e38f4a6726a48bd812c9bdd24bd7b60d3967dddce448d63bdde14cf.jpg']",0.986059888,0.929289445
"['409', 'c6a33c31e84ad54789ae7090a267b5ec741e00332b18bfb31a112fc0.jpg']",0.977372282,0.929719694
"['685', '01b7714448121e8f16bed9c8d6e9af414816e95b4eb0bced214e11ca.jpg']",0.985812806,0.950740375
"['695', 'aefef862f0efc940239c5f28d591b871c6d9655eeb3e8b455793741a.jpg']",0.978032644,0.959740619
"['976', '712b855bf27a5debb033648c789c3b530fb83493a53433530c5a93e8.jpg']",0.974176237,0.94984074
"['468', 'af14693b8ac760fc820e290f9bbcbe44ad6ca45ab952b1280bc9c56d.jpg']",0.974905506,0.951369919
"['843', '0c6fdfaa2b97237997b7e16376b06790009c2044a5af57cbe01fc575.jpg']",0.969468201,0.944318952
"['836', 'b3e07fd0240d85c7dd56f176a9c6fc586564bce758d97db9756160f3.jpg']",0.974909405,0.964224545
"['512', '9f3b958198bb7453d53fd63d5e6a677560efe0d8fd1ca55a04bef51e.jpg']",0.973000222,0.943897366
"['443', '579a815c54e7f8d309f295f543f7f92a6f1750608b143407fc2f4731.jpg']",0.952663984,0.950330984
"['384', '13d128c0d32f24e218913eacb7efe6e3a0d5d8362cb2cf36485e010d.jpg']",0.984074071,0.939424327
"['514', '99d62cfb258ab44df1081a656648f2a9f9dd705dc040891bf829a2b1.jpg']",0.990705599,0.95448038
"['447', '07cfe69b1eebc8f321c679bdf7c8e9d968b10766386f0e818718439e.jpg']",0.956357514,0.941505945
"['377', '8b155d3b31ae8580510b09c22025c5221e0712bb4e29ac9d6ba7a2db.jpg']",0.978085997,0.956700873
"['948', '3d2a19e98299335b84990bc662bbad59c755a6114807b6f376c3dc4a.jpg']",0.978343732,0.943251313
"['971', 'c8f02d4540c002121e7f0917e209b65efa926aa665190cb8ce19559b.jpg']",0.97771437,0.967204832
"['508', '8d0eaa9f26a3d602c2086c619f10de37cb62cd5d8e09ed4a345bdbc4.jpg']",0.969756253,0.955151586
"['1033', '453278846470d1167e58391d4524cf70060d30411c4fc7a6bf1101e3.jpg']",0.977044879,0.896936252
"['816', 'a3c1b7f49a64b152acd5e4c4bc2f68117bf92a58abc4ef15816e644f.jpg']",0.982189296,0.91981825
"['418', '6a438652a8b4bfbd1329c32996a353f2f9f65d4763911855f3dc1f14.jpg']",0.98741512,0.915369639
"['509', 'e2c7bcdc1a83d59272dca0c673ed7379c32fa42e19d679ca6ea3c539.jpg']",0.987281883,0.933116998
"['1054', '6ccc2bfae65c60d5123369d8a6c39736f1e58fcf8818fc6f3ea572a0.jpg']",0.949181516,0.942177442
"['458', '3f0bab0b33ca8007b26bfd5f57bdbf8660a58b5e59b3fd3e7c23c08d.jpg']",0.977087642,0.926294213
"['914', 'ef92c9c081c62958fe0b8acbd53719c4297289ee20142ef7914c5b1d.jpg']",0.990962297,0.969917224
"['588', '55447d4542944272a49ba299925fd7ea52115d9e0c023d8252215ec8.jpg']",0.966215746,0.948482269
"['1058', '4441854217d325da9ba283733f2662cac7b3f3555155f46ce528bbd2.jpg']",0.987731055,0.970989388
"['371', '273c71c4a08e82bd887e6b70e0b8acdda36aee7ff3eb21a91e3ebde1.jpg']",0.975977799,0.949941864
"['655', 'c90de17fb11a7150afcb4e7ef733a8fa5819a6fc1d9fa4f3fa5fd078.jpg']",0.982893724,0.955770378
"['662', '93ea70f78ba8ef5dda3d5a679dc19a23079d6e26c2c0c148e1db5fed.jpg']",0.977944092,0.938363678
"['956', '322c344539851948f37156d6013dbb7fe9f83d05d52807f16b24a0cf.jpg']",0.956204785,0.938793082
"['178', '5a96579ca50a80f9f7cc360c14f5602c1b923a33d26c49770f426e5a.jpg']",0.984340943,0.949383417
"['728', 'e75ce3c069a4d4ce35b8ad6567715c1399ff27bd5a4c7a6e1ca648e5.jpg']",0.97813631,0.958291202
"['897', 'c11192fe03dd619010a80a8f2af9e5b237b2ab285d5d343fbc61a5b8.png']",0.97606857,0.942705819
"['1018', 'ed747708dcc90d023ae5555ceabe97da4b5a4905cb8c957f3e444136.jpg']",0.96608136,0.958870145
"['518', '14fbeddbbfce51288546f6fac4a36bc525be17d7f16b967d57f036ef.jpg']",0.948601824,0.951455107
"['650', '17232e2aeda80e9fa60f9026fd8ec721ade918e0f363f67b89a06df8.jpg']",0.974635357,0.951482069
"['708', 'd4fc3c9cfb8fcb36679cd9d65c75938a394cb63ec20725ced074c39b.jpg']",0.967792921,0.939000104
"['440', 'b64c6df46d93dcbdd7a1c09c62560db2189024d7dd17b58087b67954.jpg']",0.975359137,0.960105551
"['845', '700d7b71e4e99ab346ddc98db8f0c5c287b00f6a57f46bf182095dd0.JPG']",0.96806865,0.959894782
"['1013', '578ce92a10543826a859e9ce1597087e98598feeebedcd99a29870e7.jpg']",0.979248647,0.960817961
"['486', '45ddf9586c0b863f2d0d0f274948a20a849d919fb244b7c3c16390f9.jpg']",0.973137418,0.933855239
"['159', 'ca8c7b474e1e01f009255d3922d51391595749a093911b00e8b82d80.jpg']",0.966860272,0.949078345
"['460', '87ce7c30b79d9ce7a624c7c0755fb48aae8c3068b48266209a86354a.jpg']",0.982524806,0.95517416
"['978', '4ab12e78a7f3f5879289bb7a0dc3f8bfcbf39dbb9fb0dce7cd732d94.jpg']",0.969320478,0.966487337
"['682', '4ad60b4874414e08093cf5e4789f2fe1d87d8d59e9e41a2a79b8ace0.jpg']",0.97840359,0.936110036
"['955', 'a7234b2cd53d876160e9fdd1efdaf74935753382203da4c843634c61.jpg']",0.976848184,0.932833795
"['667', '81881326ca02560bdd4624edc82fdd42623c67a25adb64e5af1b09ef.png']",0.986504697,0.924413515
"['489', 'b261781ffe8e9090eb3669a4332ea3ad6b1f512687785307b245f3c7.jpg']",0.973645198,0.948341741
"['244', '6b211fc225e323ce4ff78aa5d239ca65cac20e1606d4cda3b578f9d7.jpg']",0.971238122,0.953010772
"['878', '1a5a5421e2ccba6530552cf68bc9940e53c314d2a60fb03e62a49720.jpg']",0.972289529,0.952194576
"['281', 'dc26b91ae4ca253c440fb27406e7c7de9084b26df0707d27438dab7d.jpeg']",0.983910448,0.951970334
"['952', '2c9f6a125b9e299507b42f3ff68a743637deaf0071b13b9182b01d03.jpg']",0.971683089,0.929899098
"['342', 'b0b678a89b446508402f6a3f3ab527f916ee6884d6463e7135f61de2.jpg']",0.980060918,0.954967035
"['680', '3e41d0be1ac6a79abfd0a0ed7d380512f41cb3d10cec29c64323a667.jpg']",0.986034206,0.932565733
"['809', '21a41bf4b1dc0b123dffa25e35f9af00724dd1c6e81bb9104f1b9c9c.jpg']",0.978628498,0.923588508
"['968', '40ee45df81c00b4b27d9ed9d4813f2a9a6b3b9227d6bd3ee9dba86f7.jpg']",0.979993024,0.953048975
"['643', '9f95577516f8d7dbee44c93f207dd958a58cca9e2b95b9d8f0431e2f.jpg']",0.967186879,0.957722462
"['932', '75873afe1e20d5759d38135a017c8d46c186469c0bd656fafdfc1e24.jpg']",0.98486177,0.938715731
"['214', '5c8d91d4400b6ae7884fddd2583bb752b4c5350f3b2db64e15cf4a00.jpg']",0.978379683,0.930109857
"['459', '0fe92dcc3abb031f1d0d4a505b598a31192ddf4592369d2890e8a004.png']",0.970965687,0.947344369
"['1265', 'fe32556af75ec176c91aded80dd9f8ea8744cb333c340c97df1035aa.jpg']",0.976185325,0.90651092
"['842', 'fcb948fc5e8ad64acd5dd935844b74f10b49ceae1f649416673633a3.jpg']",0.957091699,0.922139466
"['505', 'f6b6d84dc77e0fb4d2805013b5b4e8fb31ef3cb8d2113199fecd8b87.jpg']",0.970192396,0.948074031
"['891', '17715eb42e057344ec685e262e67fcdf7906dd41e049e3e818449d1c.jpg']",0.980801138,0.959605931
"['448', 'a4ad48c3f9acc49647d3e7f898e33b1b965a0ce95784d08a559d0f87.jpg']",0.972680806,0.964548464
"['820', '28ca022dc983b73f31cd621efd6fe990034618fd92c8b36d739b0a4f.jpg']",0.986515994,0.94903808
"['342', 'e4e61292f8e04f7c34d5a3a08ecdeabfd0cbf9ef0bb62861b441c774.jpg']",0.984276183,0.949945732
"['445', '2a798f5c9c2563ce9f74d9d2b940c8aa1ad2e8300c7d0655f478e12d.jpg']",0.979560961,0.937386182
"['237', 'a16485835f497a5cb93346a9625ad175cb6f0bbba44fd26ca4cec517.jpg']",0.97933751,0.96288482
"['756', '30a991b0c50c69082700b15c95e181401eed5ae63f4f04740ebb2181.jpeg']",0.97081844,0.949480033
"['501', '3760edc24c10b01002588c2ac866aff60919867d6dbc568c2b8bb4d5.jpg']",0.983140064,0.980857849
"['1045', 'ec0103bb14b799d145afbbb4cf178bff1032d064ca0f6e91092f99a8.jpg']",0.977011382,0.923908283
"['951', 'fc47e895664acd344405d078e5e340e10ee7af08a422e83001805d08.jpg']",0.984755472,0.954085704
"['981', 'a4c0e68550b4a05ddcb30ee1c5fc832f7521098bdc4385f518bc0703.jpg']",0.984295657,0.965683578
"['921', '2e20db3346c3d2a8349617266e10efccb1062b80d672b10217972c2d.jpg']",0.977413799,0.933234944
"['452', 'f92121975a8a28b6ad1e9897a9ca022b573dabafed4b740b345c82f2.jpg']",0.975472389,0.934233916
"['519', '407a693e7d28d0f8097c6b4f4462f28edd8e5084c12580d73702e485.jpg']",0.982535757,0.945827773
"['905', 'a29158412b0b426527c6fe9a6fdf6279014c114d6f60a84d3f6209bf.jpg']",0.98229706,0.955886439
"['1057', '664c93265334f5a659e2a36532482539d094362ac73d3656bdac18b6.jpg']",0.97863693,0.945669234
"['1054', 'e1cde7cd561137683143ec5adbe2d429d5da2bc867f60dc6da8912f3.jpg']",0.968227599,0.965574933
"['882', 'fd3dc7b108ca51b87d534c9b7ffe6969dc8618913901e2f67a6a5b8e.jpg']",0.970804459,0.950772247
"['989', '1035e209a101c5f89ca588813edcec728cb38709746f2bb009cce032.jpg']",0.982286245,0.941583034
"['468', '12658eff918f4b2103d698d76d94547f47f8d3c55ac8d2f11f53a019.jpg']",0.968175172,0.956171606
"['856', '0c80e6f3b56f8965c3493356dc9f2cca171c425010e429496dd2989f.jpg']",0.979390735,0.954793965
"['1053', 'ac5920c14d04ee8fc367093f740d358c655e82b5c62726559030cf98.jpg']",0.963307263,0.955261668
"['1297', '7041a816ba3e0c65861d201fe07a2db6e35c8026cd7b7221f6fac89c.jpg']",0.966020292,0.936834257
"['892', '264cebe5314213bec73d4ea9ecd1b329a3f71325ff765f09c71d5825.jpg']",0.981249323,0.916513884
"['971', '27beff6a1a43b8b648884fd069977dddd9006e61f5fe009bf6d3f10c.jpg']",0.967386849,0.936130222
"['857', '76e22b823d004a19d314942d84b1f784b73284dfe6ad0b70bdd8a1bd.JPG']",0.985127714,0.94011738
"['1025', '6ffffd9f9e750f7dd15c02fbdc5b96c359b22bb239cb03e2a99cefed.jpg']",0.976774191,0.920985037
"['875', 'b66579354cc300db408d9a63322b30240f28a28785167f81ee62b27e.jpg']",0.979538488,0.937301362
"['751', 'e2c0b1b7de2418025ef4143d56df9dc5b8a7de1699346164988c1ffa.jpg']",0.982254709,0.911610345
"['675', '5a4f3bab708ec8b17335492b4d44fed41aca616e6f10f84a1234ded3.jpg']",0.975393837,0.927929003
"['263', 'c68220474b2e0cbd6bec6d8c39505e26a1aeaafdba3d2c6918011b19.jpg']",0.973823251,0.933455219
"['267', '6cb949a3f743452c5be627fcc8a2f78aabc8b148873b74d82a572847.jpg']",0.964997292,0.928232625
"['185', '311de24868ff3cd0503202b5a4d1acafd359cd0d9818703514d39adc.jpg']",0.979710033,0.942555414
"['329', '284bb0233284229d8def34804c56136ff8f690a60b5e5cfb7ea93e82.jpg']",0.983443146,0.971443909
"['384', 'db77f1b304a5c5c388ecd3f597b0054321a3a0cd5af901484ce445fb.jpg']",0.985057814,0.937638064
"['439', '23839ee2478f2bbb65d6d4c2fca3e50cae20d398c0184926acb16268.jpg']",0.98048728,0.953210131
"['158', 'b310caf7d7ad1d0618a16e0c38d1bf5902fd779c8f197646e8b39d00.jpg']",0.972147505,0.941095505
"['628', '45d4b56f65ca13949ba36a9a7d2d6f3c5d6a38dec15d21d694e3e39b.jpg']",0.979419873,0.953024212
"['637', '126ebb792e2e7fe7947f4c31e120c7c35d4e36a30f07b487ff8cc321.jpg']",0.963661986,0.971062548
"['735', 'bd4fdce0cc537c783ca905ffd6dafbb7b9d2140d45c05b8e3356f1f5.jpg']",0.980291696,0.949727831
"['509', 'f40b59e585adbbcf4f19266fa82732fe28639eb4a7eb353eca49d68c.jpg']",0.990820743,0.9436127
"['723', 'b5dcf469c0c4430844679fe9b20cf2b386f755d002cfc9f011b949bb.jpg']",0.990761415,0.963688972
"['435', 'bc9ad400db82eca1882b11c9603348fb3e92f5b0d67391ac22a1bc79.JPG']",0.819943332,0.865992046
"['805', '745ef9861c9908cf13af7dc0b59ccfad9d46fd8d362ff09b70ea4aad.jpg']",0.972762178,0.952657614
"['39', 'd0947fc63cf73411f5076de799edfd11a6448f5759076d5f5d48e65e.jpg']",0.959156709,0.917690042
"['996', '0d2ccdcc507f41e99eb346e6b68375b211829b4e3160678c392c5fa2.jpg']",0.978934013,0.954405408
"['242', 'f3ed592a4d03fdf66648879968e4707624897ce105b2ec505c12be16.jpg']",0.974065396,0.957905823
"['1279', 'b87a95e0f20e45ba6106acdd5664ab825c39df13e1f975bbb38653f2.jpeg']",0.972292993,0.955390863
"['958', '80762adfbad33c7ff530a0d102d0af4d9be46682f5bec6f7bd7339a1.jpg']",0.975482999,0.932390048
"['1032', '816e236de97962a051f6fdbc1b3aa664588819411b0d0afc86b8f590.jpg']",0.981724898,0.93352842
"['647', 'cb13ff5882040106b80c86a3728d4e1046770c968699fd6a00957c96.jpg']",0.975617667,0.969136869
"['781', 'ec5dc4a13f50e890b8858acbae1882532b094d7ae04229b92af25643.jpg']",0.972925433,0.957725412
"['384', '6104bfd16c573934cdef2228d63726b890c96411854e28b4175a8840.jpg']",0.971823567,0.924837095
"['828', '0bf04c72874a838cbd378fc54891b947719a15292fb69d167bf9a8f6.jpg']",0.964824872,0.928402439
"['280', '815a60a2a08c57dcd2a16a8bae8756ab005527160aeb9dae6fcbc086.jpg']",0.955406415,0.907754586
"['399', '81ae76d7e259fa3688bcd8a9262f2c60be92d8b05c1a74bd0b3d4964.jpg']",0.976211081,0.951361069
"['178', 'ad925addf3f87453d5ae36c7f9fb4489a456683431014fbe9636517c.jpg']",0.980770833,0.962132214
"['684', 'ab77ddd42a5a7400744d0d6ef2c3586a93f268f1be4dc2185574c637.jpg']",0.976867983,0.926855475
"['1064', 'da6eb979db3e49c3eb458b5f4f2c583a9859718010a5e6add7ae7540.JPG']",0.961935212,0.941329982
"['950', '73e640cd6f4b0f767e2c41ea994a15bb52b1f01c01954f68bb4e8167.jpg']",0.965152562,0.951654764
"['482', '8e9e72119dccae2c5dd29ea5767d9a478fe730f4bab7a51671a94c61.png']",0.96747085,0.917168533
"['423', 'd41959903ed0814d5dfa7070d94f50eb53953e7d87598c5b76c4197d.jpg']",0.984833231,0.969151023
"['901', 'e20c29c4a4cc2f9e78c8edeeb1c6bb518f2bec48ad2bf727774cbabe.jpg']",0.970418547,0.941023938
"['1012', '7a11767dc8209880b4a521f538c8abc2e5f92bf3ddc0b7f4d5951269.jpg']",0.950985951,0.926764546
"['889', '14d0eb736733f8766168c4143dbb01506b9f82ac88fe5f0c70366b92.jpg']",0.983291925,0.955921005
"['1209', '6aea85e8b5fda776969e3bc3497f017b12202d8969e5a441613b1e1a.jpg']",0.971387932,0.94008776
"['898', '87570657195c510bf413997e3043202532fda170888ba48a6fc96af6.jpg']",0.96269488,0.934185616
"['913', 'bbf3fc65e638afd01081b8bad505b15826efd355cafe0f753274ef42.jpg']",0.975000253,0.945464434
"['702', '49cbeaa8c4674f812b67318d84d5ea41ba01fa03842710bd12e4b80b.jpg']",0.983260869,0.950570912
"['385', 'be1bb87df2b82072b1ea6f46bf660216e77f774c6d8f7facdca66c28.jpg']",0.952746191,0.925757368
"['960', 'b48f08540dc77d0616d7bbde2dfe4ed12ec4920d68d9e636e17cdd13.jpg']",0.985339726,0.946917238
"['852', 'a630b20b266a01e2aa4d5d25af066690535e2d740a8d757e7a039845.JPG']",0.971720213,0.971885589
"['657', 'be9a241f331e072479bb4b78c19638eba08b14194c0aa0e31f6140f7.jpg']",0.981239343,0.974935087
"['640', '469011e2468edd55cb6f674f89bbdac7ee224784cf4e774811de6a62.jpg']",0.982217799,0.930305295
"['1014', 'b532cdc447f99ea377854ac37567362e68de35483e9455a97d94deee.jpg']",0.990728064,0.981624091
